"standardized_name"	"raw_name"
"d$dataset_id"	"d$dataset_id"	character(0)
"d$trial_id"	"d$trial_id"	c("d$TRIAL_ID", "d$site", "d$Years", "d$farm_id", "d$HHID", "d$QID", "d$adm2", "d$Location", "d$dataset_id", "d$location", "d$ID", "d$experiment_id", "d$treatment", "d$exp", "d$SY1", "d$Publication", "d$Site", "d$field", "d$Country", "d$Trial")
"d$country"	"d$country"	c("d$Country", "d$location")
"d$location"	"d$location"	c("d$LOCATION", "d$Village", "d$Location", "d$action_site", "d$Loc_desc")
"d$longitude"	"d$longitude"	c("d$LONGITUDE", "d$adm2", "d$Longitude", "d$location", "d$Location", "d$Flong", "d$GPS_long_DD", "d$site", "d$Site", "d$Country")
"d$latitude"	"d$latitude"	c("d$LATITUDE", "d$adm2", "d$Latitude", "d$location", "d$Location", "d$Flat", "d$GPS_lat_DD", "d$site", "d$Site", "d$Country")
"d$crop"	"d$crop"	c("d$TCrop", "d$experiment_id", "d$Crop")
"d$yield"	"d$yield"	c("d$YIELD", "d$PodKgHa", "d$GHvYld_C_kgha", "d$grain_yield_ha_calc", "d$grain_yield_kgperha", "d$GrainYld", "d$CPY", "d$Control_Yld", "d$Absolute_Ctrl_Yld", "d$Yield", "d$GRAIN_YIELD")
"d$on_farm"	"d$on_farm"	character(0)
"d$is_survey"	"d$is_survey"	character(0)
"d$Treatment"	"d$Treatment"	character(0)
"d$adm1"	"d$adm1"	c("d$district", "d$Zone", "d$action_site", "d$Region_province")
"d$adm2"	"d$adm2"	c("d$sector_ward", "d$Region", "d$Location", "d$district")
"d$adm3"	"d$adm3"	c("d$vilage", "d$District", "d$sector_ward", "d$SY1", "d$Site")
"d$site"	"d$site"	c("d$Hamlet", "d$Site")
"d$start_date"	"d$start_date"	c("d$Years", "d$Year", "d$Location", "d$planting_date_mm", "d$planting_date_dd", "d$planting_date_yyyy", "d$planting_date", "d$date_planting", "d$year", "d$field", "d$SOWING_DATE")
"d$end_date"	"d$end_date"	c("d$Years", "d$Year", "d$start_date", "d$date_harvest_mm", "d$date_harvest_dd", "d$date_harvest_yyyy", "d$harvest_date", "d$date_harvest", "d$year", "d$HARVEST_FINISHING_DATE")
"d$season"	"d$season"	d$Season
"d$treatment"	"d$treatment"	c("d$Treatment", "d$Nitrogen", "d$main_treatment", "d$sub_treatment_inoc", "d$sub_treatment_fert", "d$treatments", "d$variety", "d$Trt")
"d$rep"	"d$rep"	c("d$Replication", "d$replication_no", "d$R", "d$REP", "d$Replicate", "d$Rep")
"d$residue_yield"	"d$residue_yield"	c("d$FdWtKgHa", "d$tot_stover_yield_haulm_husks_calc", "d$above_ground_fresh_biomass", "d$area_biomass_sampling", "d$total_fresh_weight_all_pods", "d$plot_area_harvest", "d$total_yield_stover_kg_per_ha", "d$STRAW")
"d$fertilizer_type"	"d$fertilizer_type"	c("d$N_fertilizer", "d$sub_treatment_inoc", "d$FERT")
"d$N_fertilizer"	"d$N_fertilizer"	c("d$Nitrogen", "d$treatment", "d$fertilizer_type", "d$sub_treatment_inoc", "d$sub_treatment_fert", "d$N", "d$FN", "d$FERT", "d$Treatment")
"d$OM_used"	"d$OM_used"	d$OM_type
"d$soil_type"	"d$soil_type"	d$comments
"d$soil_pH"	"d$soil_pH"	d$pH
"d$soil_sand"	"d$soil_sand"	character(0)
"d$soil_SOC"	"d$soil_SOC"	character(0)
"d$striga_trial"	"d$striga_trial"	character(0)
"d$farm_id"	"d$farm_id"	character(0)
"d$district"	"d$district"	character(0)
"d$sector_ward"	"d$sector_ward"	character(0)
"d$vilage"	"d$vilage"	character(0)
"d$gps_longitude"	"d$gps_longitude"	character(0)
"d$gps_latitude"	"d$gps_latitude"	character(0)
"d$gps_altitude"	"d$gps_altitude"	character(0)
"d$main_crop_last_season"	"d$main_crop_last_season"	character(0)
"d$date_planting_yyyy"	"d$date_planting_yyyy"	c("d$date_planting_mm", "d$date_planting_dd")
"d$date_harvest_yyyy"	"d$date_harvest_yyyy"	c("d$date_harvest_mm", "d$date_harvest_dd")
"d$mineral_fert_type"	"d$mineral_fert_type"	character(0)
"d$inoculant_used"	"d$inoculant_used"	character(0)
"d$crop_1"	"d$crop_1"	character(0)
"d$variety_1"	"d$variety_1"	character(0)
"d$crop_1_spacing_row_to_row"	"d$crop_1_spacing_row_to_row"	character(0)
"d$crop_1_spacing_plant_to_plant"	"d$crop_1_spacing_plant_to_plant"	character(0)
"d$plot_no"	"d$plot_no"	character(0)
"d$crop_1_weight_grain"	"d$crop_1_weight_grain"	character(0)
"d$adm4"	"d$adm4"	d$Ward
"d$elevation"	"d$elevation"	d$Altitude
"d$variety"	"d$variety"	c("d$Variety", "d$Sorghum", "d$TCVariety")
"d$P_fertilizer"	"d$P_fertilizer"	c("d$Fertilizer", "d$Phosphorus", "d$treatment", "d$fertilizer_type", "d$sub_treatment_inoc", "d$sub_treatment_fert", "d$P", "d$FP")
"d$K_fertilizer"	"d$K_fertilizer"	c("d$treatment", "d$P_fertilizer", "d$N_fertilizer", "d$fertilizer_type", "d$sub_treatment_inoc", "d$sub_treatment_fert", "d$K", "d$FK")
"d$grain_weight"	"d$grain_weight"	c("d$seedgm", "d$Seed", "d$GW_1000grnM_g", "d$dry_weight_100_seeds", "d$dry_weight_100_seed_g", "d$TKW", "d$Country", "d$GW1000")
"d$row_spacing"	"d$row_spacing"	d$SPACE_BTN_ROWS_SOWN
"d$flowering"	"d$flowering"	c("d$Flw50", "d$flw50")
"d$plant_spacing"	"d$plant_spacing"	c("d$Spacing", "d$comments")
"d$plant_density"	"d$plant_density"	c("d$plant_spacing", "d$no_plants_harvest_plot", "d$plot_area_harvest", "d$no_plants", "d$area_harvest_plot_m2")
"d$s1"	"d$s1"	c("d$Year", "d$adm2")
"d$Location"	"d$Location"	d$Year
"d$year"	"d$year"	c("d$Year", "d$location")
"d$N_splits"	"d$N_splits"	c("d$N_fertilizer", "d$FERT", "d$Treatment")
"d$Mat_c_day"	"d$Mat_c_day"	character(0)
"d$ID"	"d$ID"	character(0)
"d$nrate"	"d$nrate"	character(0)
"d$prate"	"d$prate"	character(0)
"d$swt500"	"d$swt500"	character(0)
"d$tdmm2"	"d$tdmm2"	character(0)
"d$flw50"	"d$flw50"	character(0)
"d$slk50"	"d$slk50"	character(0)
"d$previous_crop"	"d$previous_crop"	c("d$PCrop1", "d$USE_OF_FIELD_SPECIFY_CROP")
"d$irrigated"	"d$irrigated"	c("d$Water_regime", "d$IRR", "d$IRRIGATED")
"d$Zn_fertilizer"	"d$Zn_fertilizer"	d$treatment
"d$S_fertilizer"	"d$S_fertilizer"	c("d$treatment", "d$sub_treatment_fert")
"d$intercrops"	"d$intercrops"	d$CS
"d$OM_type"	"d$OM_type"	character(0)
"d$main_treatment"	"d$main_treatment"	c("d$sub_treatment_inoc", "d$sub_treatment_fert")
"d$sub_treatment_fert"	"d$sub_treatment_fert"	character(0)
"d$sub_treatment_inoc"	"d$sub_treatment_inoc"	character(0)
